,Drug1,Drug1,Drug1,Drug1,Drug2,Drug2,Drug2,Drug2,Drug3,Drug3,Drug3,Drug3
Compound_74391,1243.66424177006,1116.90956635593,1006.28212925392,1184.11264814088,917.019646255314,807.231167096411,1085.41805335277,1177.83581698533,900.435969251043,1010.70371300469,930.630014525443,731.243202072519
Compound_58834,1148.76502695329,1076.909340806,1201.94219059994,1305.96259365404,849.191765847048,1021.60420861499,1189.3141304729,851.752708867106,1177.67617228211,1079.67416740781,999.87743472228,801.379071688638
Compound_69762,1170.04776905783,1307.01623464813,970.385945776226,1261.23714962248,964.18953921589,1173.70979568327,910.585172563377,886.873659109108,644.635816173394,781.300962364714,696.029327432764,1023.99198322971
Compound_27981,787.242001340549,894.119230101487,754.188410243376,971.598508257917,1339.00465150144,1163.47634794534,764.597002198639,1383.95782902916,1027.50616541785,1313.08232023755,841.609538222729,1056.49633454085
Compound_85883,1297.16986657315,1025.17186787088,1112.56871617342,1356.81502028766,964.260586367922,941.246304905865,813.346654827932,1015.44565951705,992.663476791634,906.57544081156,1044.55251783567,871.142563370346
Compound_49414,1209.65937517308,1246.7164268367,1165.02149259876,1309.79660423409,1192.44597616169,916.311356646016,799.634017567592,1315.21679797341,902.818360740603,653.549205402895,616.2520219217,893.445004701338
Compound_24447,1151.32707014276,951.061797382236,994.722677439874,772.898659426022,1383.32743920741,1076.05255065734,1403.15407841989,1073.24171337253,1027.3881473282,1064.4011242384,1384.16748822683,1282.85770789593
Compound_65333,913.370684975858,917.199698831427,716.869899488843,784.85667486531,1013.70900410536,912.744226321688,978.162760710369,847.928262345472,823.89737064367,1146.61855065827,1189.64697567577,1114.07694939746
Compound_81013,925.587702874358,878.750747777436,718.403587482231,851.600103438027,1123.62902960128,1055.7204064445,866.709909278173,961.267804173767,944.67001196154,974.360596802887,933.399688609029,1385.25310821149
Compound_78292,961.864066723247,1148.8209733823,1110.57544904087,1218.95383808829,870.318452995576,616.757980459711,750.915718014206,961.304362140603,789.614629975457,1103.0809215102,841.258278903776,1161.65449038674
Compound_62885,1017.00157835547,802.966715438388,942.708766791599,982.469443924189,1332.40523732505,1357.81986214254,1101.25887494149,1043.97164064867,1148.551773136,834.330287793526,1127.53987963521,1071.36194203069
Compound_64089,1193.7634852841,1549.73537994927,1433.46524803099,1149.26764573189,879.685152274508,761.328102315787,1643.72526473674,698.079728329646,917.938502168004,801.873172856797,1072.12350578298,1099.2540845868
Compound_37511,841.886145561834,866.472033113136,945.796674434251,732.652708790643,1120.94973716581,930.078809592736,833.480052674559,1139.2897308041,902.284116996154,1133.86083754551,1200.28805709547,947.667338146906
Compound_11568,812.780141121416,937.912620972009,896.084495249735,887.711542731436,897.018296740381,1127.15997215155,1029.93583563754,1279.20478679915,1333.8449467667,1254.47610351238,1047.11038820385,930.285231485891
Compound_83436,873.272756218626,885.850242705597,851.839315330497,828.617901965081,849.69814811678,1302.97558084791,861.819414215249,943.440215045498,1365.6662852926,1138.3000758771,1184.59342405347,966.365235974109
Compound_32724,836.701629745668,882.346213144437,955.276943230199,966.50250688726,1053.89932487638,770.036456163095,1128.35458931173,1054.91034049339,1037.32338113759,1207.23852481174,1058.46193990338,1441.71109679769
Compound_49834,1198.49265790892,1135.60934980703,1438.81383428425,1291.74187109612,912.175675519448,1272.23120621343,1076.79804263906,982.873717106412,993.437842817218,1115.08200416497,1007.50442148346,1065.3849028564
Compound_12660,1306.54316163534,1203.31128074328,1315.62663600757,1169.64551290078,895.525079901084,1002.88559508564,1293.36033366794,755.033474666536,1083.94357367525,894.839446907201,1022.92840231943,1315.3796431567
Compound_71764,554.436182918842,1000.57003288544,906.897510123385,958.347054666192,1159.69048705771,1241.7634559587,1395.5368838688,1412.76607839721,1187.30136873807,1514.76444066782,1070.43424064355,600.394350424834
Compound_8226,1108.94985554613,917.37184976233,1093.19533913757,1067.66711744774,532.551477226683,793.961738361443,756.910446160693,805.741982909042,843.374377525019,837.127441851974,799.094462020566,1053.18595373349
Compound_67382,962.515715305688,691.896636906511,673.968310591646,791.608541520228,1099.92485158866,899.16148088266,1483.29520942853,1040.01066243497,717.254752454847,817.377729033714,965.336066351184,1277.10983603839
Compound_13794,1020.57789342588,1120.29752712494,1270.34727078368,1307.577027119,832.209155745981,1009.35927734952,765.164772214414,750.758409139878,1087.19010185843,1052.31956379968,886.671355541032,1088.9423959726
Compound_2417,1206.06482116139,1263.90102529247,1221.62286689092,1004.01024481908,723.742405694722,656.235981964056,957.840643264257,729.669503970682,1085.08093832374,1218.10221861947,1161.22086035376,1094.5509974868
Compound_24035,612.601498995735,758.645238505499,900.028133744044,985.88509520713,1074.73538627549,1272.00009040143,1269.57376239295,748.979890972513,1169.45698974787,911.107668316574,1133.64269544506,947.596602124679
Compound_39900,1318.44577093123,1238.30082677806,1157.52992416308,1111.72613432219,908.781544305593,1130.7908348097,783.527618952651,920.331647264277,1017.5090169284,1293.4099781194,780.74110755725,1020.36303503238
Compound_12180,731.227068550733,974.018033303694,801.599218309259,891.472539229369,1308.64683429025,1178.72362864077,968.919584114863,885.857118730192,843.703722277595,1054.44049956269,1020.32396279727,1175.39635660854
Compound_40919,403.311415298452,508.541778383854,671.90821364229,830.038773710438,1076.74892392271,767.32739530473,1166.94950762321,869.333259537445,954.169897690995,950.328416310751,1037.6175984865,988.200968404833
Compound_34999,847.799534013306,684.334663233019,879.581431072658,1035.32346037518,1310.76000935237,1089.66106858567,1101.48276948819,1344.22276158211,1191.35193198957,1020.69501939375,960.513727186946,987.540126895041
Compound_81897,1070.1280879645,1166.24205070999,1170.44004171846,1123.55111338053,1039.52186252594,470.971496551437,886.105475390471,617.603330794565,1248.06722821475,1000.67036949481,920.021620551525,1083.66560598083
Compound_54826,818.072128210207,806.416407552794,720.57950659527,902.395432950999,947.555573645017,1286.82411823072,851.8757079193,980.123049797546,889.435914139572,880.469751531966,983.545843120165,959.929908773865
Compound_11035,869.71462346365,744.488678060535,944.752579320034,825.596410246362,1156.41942544448,914.324326698727,957.504217141577,1006.96898543982,1150.3173892145,733.335679326368,965.972151003662,1084.45835005528
Compound_56210,912.779790591055,972.820709359366,732.376012686276,900.35669168248,1376.05940225205,1093.96548660092,972.693076275988,1031.85019031721,987.31621780769,1222.32883390676,1155.71220443741,1215.21968769074
Compound_60908,1339.83685439921,1301.69429608822,1306.59888030643,1313.99368501601,866.405772378001,1159.86191767377,1300.1371034784,1051.07136513052,814.509559923975,1278.36135619287,956.653767919997,987.293098053143
Compound_50068,612.434075040982,804.467311815411,732.171712238249,893.388403660846,1242.98153262505,917.813080563747,998.608830961496,1054.45001788616,1399.91803975266,1165.52311692136,884.979484250261,485.353524152504
Compound_77698,686.674263429803,778.694332251612,719.396466035431,559.588477214312,994.286401788735,829.640659542979,631.453524388256,1122.68806049885,1081.98724462914,1001.77478732885,854.864825891544,1047.15923126941
Compound_71870,1162.01980034699,1264.54542596668,1212.71197277867,1173.39638841141,1274.24991915414,1172.42953754162,918.912680341691,722.338322540987,595.282392336212,627.301573416731,868.542990653472,899.557901638848
Compound_66624,1484.97023154343,1332.79236335139,1256.59778985951,1185.0472344188,728.248338508364,1104.45924485878,1046.70167675574,910.185525656585,1195.6407524543,1164.56362062751,1215.82279533719,1116.09755552011
Compound_24321,914.724864101345,742.968328302956,828.60307171725,912.006600918794,1224.13345706786,1060.25623807872,946.963770453935,1109.89079228127,970.647513214999,1443.93296301691,1015.57970651304,1056.89569865369
Compound_13761,758.910653883065,797.530588767065,773.407910059839,552.453793660641,937.513252361403,546.073324400961,1058.73280872936,991.751665354962,1191.13078234011,1058.77113610896,930.106312565263,769.853191693586
Compound_93159,1134.45830536935,1314.20837484237,1082.60210827572,1130.50136096444,638.831088540007,1030.99618920692,1193.81405685836,1280.12035361407,774.909209669153,849.14048100124,982.50447173464,739.488849222582
Compound_33678,1153.28915555631,1251.79029361309,1220.88716359821,1019.97378189327,879.174822095083,863.819209089946,808.995349539939,870.258932788933,1243.58339519852,680.664528023336,1332.77803190341,826.421046033496
Compound_5313,1282.88809266194,1204.955103294,1124.02851897373,1050.79081137779,982.141295027406,923.824526158059,1094.95232286255,896.017314468834,1075.12508413489,1123.64237481289,1017.96312560186,961.228526819849
Compound_46745,1402.98639736759,1182.60305065395,1293.77541159554,1040.35937994049,982.159491087243,993.98807263687,987.116442729569,705.802144102065,1255.27927155147,1072.89668036357,574.565662671911,883.785361093246
Compound_74004,1012.82546132165,852.385494340876,857.541325224863,918.098454556118,855.087145693757,1051.18572298735,1099.33698404944,1149.23766532444,1103.7289949485,911.33591394182,1227.52270112302,1021.42002146834
Compound_99477,1123.8092116541,1185.00857949255,1079.62986034769,1215.95078804672,972.976634413876,1101.02980014942,852.690879432444,804.283522913927,1058.54651158359,880.733182353801,1195.90749953394,708.806514823162
Compound_28681,1127.89425094268,1198.35402863684,1221.23508109666,1104.7070929488,839.337441911027,1082.18618255481,826.892520183705,793.240929459949,987.765772580054,776.401171648535,1126.69989720467,998.74631607552
Compound_48278,1439.49790278942,1553.5624590827,1392.53894280289,1032.92875391534,1016.15148320328,917.439103060505,566.455327027484,837.189767412654,994.012242451784,1133.16599814986,694.379799636737,901.172616175565
Compound_30230,1026.35296765437,1168.97869399005,1301.78590042621,1318.01351433932,838.693369281008,749.382481199955,923.051401616504,906.024250345582,1005.58821513718,1024.45222266365,560.652364610385,482.681783955849
